Week,Timestep,U1,U2,U3,U4,MU,RBM,RSDU,Total extended time,Stage,Rescheduling
162,47,0.9587628865979382,0.6082474226804123,0.7216494845360825,0.8350515463917526,0.7809278350515464,1.2277227722772277,0.19262923151252623,1,1,False
162,96,0.9587628865979382,0.5876288659793815,0.7216494845360825,0.8350515463917526,0.7757731958762887,1.2358803986710964,0.20425815480318138,-1,1,False
162,118,0.9587628865979382,0.5876288659793815,0.7216494845360825,0.8350515463917526,0.7757731958762887,1.2358803986710964,0.20425815480318138,-1,1,False
162,36,0.9587628865979382,0.6494845360824743,0.8247422680412371,0.8350515463917526,0.8170103092783506,1.173501577287066,0.1556966899590292,15,2,False
162,105,0.9587628865979382,0.5876288659793815,0.7216494845360825,0.8350515463917526,0.7757731958762887,1.2358803986710964,0.20425815480318138,-1,2,False
162,24,0.9587628865979382,0.6288659793814433,0.7216494845360825,0.8350515463917526,0.7860824742268042,1.219672131147541,0.18152607385350436,3,1,False
162,41,0.9117647058823529,0.6176470588235294,0.6862745098039216,0.8529411764705882,0.7671568627450981,1.1884984025559104,0.1799377359786418,11,2,False
162,52,0.9117647058823529,0.6176470588235294,0.6862745098039216,0.8529411764705882,0.7671568627450981,1.1884984025559104,0.1799377359786418,11,2,False
162,66,0.9117647058823529,0.6078431372549019,0.6862745098039216,0.8529411764705882,0.7647058823529412,1.1923076923076923,0.18519614256427736,10,2,False
162,83,0.9117647058823529,0.6078431372549019,0.6862745098039216,0.8529411764705882,0.7647058823529412,1.1923076923076923,0.18519614256427736,10,2,False
162,116,0.9587628865979382,0.5876288659793815,0.7216494845360825,0.8350515463917526,0.7757731958762887,1.2358803986710964,0.20425815480318138,-1,2,False
162,38,0.9587628865979382,0.6288659793814433,0.7216494845360825,0.8350515463917526,0.7860824742268042,1.219672131147541,0.18152607385350436,3,1,False
162,55,0.9587628865979382,0.6288659793814433,0.7216494845360825,0.8350515463917526,0.7860824742268042,1.219672131147541,0.18152607385350436,3,1,False
162,88,0.9587628865979382,0.5876288659793815,0.7216494845360825,0.8350515463917526,0.7757731958762887,1.2358803986710964,0.20425815480318138,-1,1,False
163,-1,0.5760869565217391,0.967391304347826,0.7934782608695652,0.8152173913043478,0.7880434782608695,1.2275862068965517,0.20442973862451227,0,0,False
163,19,0.5760869565217391,0.9782608695652174,0.7717391304347826,0.8152173913043478,0.7853260869565217,1.245674740484429,0.2106278520629937,-1,1,False
163,21,0.5760869565217391,0.9782608695652174,0.7934782608695652,0.7934782608695652,0.7853260869565217,1.245674740484429,0.20941165797990985,-1,1,False
163,56,0.5760869565217391,0.9782608695652174,0.7934782608695652,0.7934782608695652,0.7853260869565217,1.245674740484429,0.20941165797990985,-1,1,False
163,79,0.5760869565217391,0.9782608695652174,0.7934782608695652,0.7934782608695652,0.7853260869565217,1.245674740484429,0.20941165797990985,-1,1,False
163,89,0.5824175824175825,0.978021978021978,0.7802197802197802,0.8241758241758241,0.7912087912087913,1.236111111111111,0.20600551353043503,-2,1,False
163,72,0.6304347826086957,0.967391304347826,0.8586956521739131,0.8152173913043478,0.8179347826086956,1.1827242524916943,0.17168934641225686,11,2,True
163,91,0.5408163265306123,0.9591836734693877,0.8061224489795918,0.7653061224489796,0.7678571428571429,1.2491694352159468,0.22509786926204467,11,2,False
163,27,0.5408163265306123,0.9693877551020408,0.7959183673469388,0.7857142857142857,0.7729591836734693,1.2541254125412542,0.2279856902860798,13,2,False
163,40,0.5408163265306123,0.9693877551020408,0.7959183673469388,0.7857142857142857,0.7729591836734693,1.2541254125412542,0.2279856902860798,13,2,False
163,32,0.5760869565217391,0.9782608695652174,0.7717391304347826,0.8152173913043478,0.7853260869565217,1.245674740484429,0.2106278520629937,-1,1,False
164,-1,0.9418604651162791,0.7558139534883721,0.9069767441860465,0.8255813953488372,0.8575581395348837,1.0983050847457627,0.09738513639057736,0,0,False
164,8,0.9418604651162791,0.7790697674418605,0.9069767441860465,0.8255813953488372,0.8633720930232558,1.090909090909091,0.08614967929246008,2,1,False
164,75,0.9418604651162791,0.7906976744186046,0.9069767441860465,0.8255813953488372,0.8662790697674418,1.087248322147651,0.08090890970928469,3,1,False
164,28,0.9310344827586207,0.7931034482758621,0.896551724137931,0.8275862068965517,0.8620689655172413,1.08,0.07302967433402213,5,1,False
164,39,0.9101123595505618,0.7752808988764045,0.8426966292134831,0.8314606741573034,0.8398876404494382,1.0836120401337792,0.06587864750365287,4,1,False
164,47,0.9101123595505618,0.7752808988764045,0.8426966292134831,0.8314606741573034,0.8398876404494382,1.0836120401337792,0.06587864750365287,4,1,False
164,61,0.9418604651162791,0.7790697674418605,0.9069767441860465,0.8255813953488372,0.8633720930232558,1.090909090909091,0.08614967929246008,2,1,False
164,18,0.8804347826086957,0.75,0.8804347826086957,0.8369565217391305,0.8369565217391305,1.051948051948052,0.07346563960379715,13,2,False
164,22,0.8804347826086957,0.75,0.8804347826086957,0.8369565217391305,0.8369565217391305,1.051948051948052,0.07346563960379715,13,2,False
