,Week,Timestep,MU,RBM,RSDU,Total extended time,Rescheduling,Original _ extended,Ori-timestep
111,252,-0.202198368,0.73,1.178082192,0.205631603,-0.911477799,FALSE,0,26
112,255,0.073865824,0.730392157,1.154362416,0.175867955,-0.911477799,FALSE,0,31
113,257,-0.423049721,0.868055556,1.12,0.138564065,3.176362028,TRUE,27,22
114,262,0.405142855,0.625,1.24,0.252982213,-0.305871899,TRUE,4,37
115,266,0.349930017,0.712765957,1.164179104,0.164405091,-0.911477799,FALSE,0,36
116,267,-1.52730649,0.807692308,1.214285714,0.176040262,0.299734001,TRUE,8,2
117,268,1.067696916,0.768382353,1.148325359,0.126349616,-0.911477799,FALSE,0,49
118,269,0.018652986,0.773584906,1.243902439,0.222651446,-0.760076324,TRUE,1,30
119,270,0.018652986,0.671052632,1.176470588,0.130063717,-0.911477799,FALSE,0,30
120,273,-1.19602946,0.704918033,1.23255814,0.243168793,-0.760076324,FALSE,1,8
121,275,1.564612462,0.809210526,1.18699187,0.198924112,-0.003068949,FALSE,6,58
122,277,-1.140816621,0.671052632,1.176470588,0.144974333,-0.911477799,FALSE,0,9
123,278,-0.975178106,0.738095238,1.129032258,0.182479169,0.299734001,TRUE,8,12
124,280,-1.306455136,0.838541667,1.118012422,0.146808264,1.813748752,FALSE,18,6
125,285,0.294717178,0.757936508,1.151832461,0.177187297,-0.911477799,FALSE,0,35
126,288,0.791632724,0.834558824,1.092511013,0.097978428,2.873559078,TRUE,25,44
127,294,-0.367836883,0.773255814,1.203007519,0.204533391,1.662347277,TRUE,17,23
128,296,-1.637732167,0.830188679,1.227272727,0.154143863,1.662347277,TRUE,17,0
129,300,-0.754326752,0.735849057,1.153846154,0.125614859,-0.760076324,FALSE,1,16
130,302,0.23950434,0.740384615,1.168831169,0.194949442,-0.760076324,FALSE,1,34
131,305,-1.582519329,0.75625,1.32231405,0.258013652,0.451135476,TRUE,9,1
132,306,0.018652986,0.689189189,1.294117647,0.25914023,-0.305871899,FALSE,4,30
133,307,-0.091772691,0.737179487,1.217391304,0.161592578,0.905339902,TRUE,12,28
134,310,-1.306455136,0.726190476,1.213114754,0.180576084,-0.608674849,TRUE,2,6
135,111,1.122909755,0.828296325,1.107643841,0.1045536,0.148332526,TRUE,7,50
136,267,-1.52730649,0.805598122,1.211720425,0.17623401,0.299734001,TRUE,8,2
137,132,-0.146985529,0.792227605,1.227180915,0.194683408,0.299734001,TRUE,8,27
138,66,-0.367836883,0.773410385,1.237185397,0.223141627,-0.154470424,TRUE,5,23
139,201,-0.312624045,0.765748522,1.228805803,0.199809177,0.905339902,TRUE,12,24
140,20,1.012484078,0.786331735,1.192329648,0.156441175,0.299734001,TRUE,8,48
141,109,0.736419886,0.816302872,1.136805473,0.126177023,0.148332526,TRUE,7,43
142,133,-0.257411206,0.77041084,1.256608118,0.227384978,-0.457273374,TRUE,3,25
143,212,-0.699113914,0.776003055,1.221901493,0.205659631,1.510945802,TRUE,16,17
144,111,-0.312624045,0.781343708,1.219451965,0.191341189,-0.305871899,TRUE,4,24
145,123,-0.257411206,0.796066874,1.208975681,0.174492544,0.753938427,TRUE,11,25
146,149,-1.361667975,0.827234767,1.173182563,0.203047458,0.753938427,TRUE,11,5
147,140,1.730250977,0.810610917,1.141925006,0.170082611,0.602536952,TRUE,10,61
