Week,Timestep,MU,RBM,RSDU,Total extended time,Rescheduling,Original _ extended,Ori-timestep
2,-0.351281094,0.763157895,1.08045977,0.071474169,-0.396413514,TRUE,32,44
2,-0.286474483,0.76754386,1.097142857,0.08,-0.364378404,TRUE,33,46
2,0.393994927,0.76754386,1.097142857,0.08,-0.364378404,TRUE,33,67
2,0.556011454,0.76754386,1.097142857,0.08,-0.364378404,TRUE,33,72
2,0.620818064,0.76754386,1.097142857,0.08,-0.364378404,TRUE,33,74
2,1.204077559,0.76754386,1.097142857,0.08,-0.364378404,TRUE,33,92
2,1.33369078,0.76754386,1.097142857,0.08,-0.364378404,TRUE,33,96
2,1.366094085,0.76754386,1.097142857,0.08,-0.364378404,TRUE,33,97
2,1.398497391,0.76754386,1.097142857,0.08,-0.364378404,TRUE,33,98
2,-1.031750505,0.75,1.132075472,0.090414502,-0.876940155,FALSE,17,23
2,1.690127138,0.76754386,1.097142857,0.08,-0.364378404,TRUE,33,107
2,1.981756885,0.76754386,1.097142857,0.08,-0.364378404,TRUE,33,116
2,-0.999347199,0.759615385,1.139240506,0.112271179,-0.908975264,TRUE,16,24
2,-0.966943894,0.759615385,1.139240506,0.112271179,-0.908975264,TRUE,16,25
2,-0.934540589,0.740909091,1.17791411,0.145006936,-0.748799717,TRUE,21,26
2,-0.837330673,0.740909091,1.17791411,0.145006936,-0.748799717,TRUE,21,29
2,-0.804927368,0.740909091,1.17791411,0.145006936,-0.748799717,TRUE,21,30
2,-0.642910841,0.75,1.163636364,0.151232059,-0.684729498,TRUE,23,35
2,-0.545700925,0.75,1.163636364,0.151232059,-0.684729498,TRUE,23,38
3,-1.647413305,0.763157895,1.149425287,0.11945178,-1.229326358,FALSE,6,4
3,-1.517800084,0.763157895,1.149425287,0.11945178,-1.229326358,FALSE,6,8
3,-0.999347199,0.785714286,1.131313131,0.126161576,-0.460483732,FALSE,30,24
3,-0.934540589,0.802419355,1.065326633,0.064353007,-0.428448623,FALSE,31,26
3,-0.869733978,0.802419355,1.065326633,0.064353007,-0.428448623,FALSE,31,28
