Week,Timestep,MU,RBM,RSDU,Total extended time,Rescheduling,Original _ extended,Ori-timestep
23,0.810108807,0.855555556,1.12987013,0.110707462,-0.903789565,FALSE,18,42
23,0.867323295,0.872222222,1.108280255,0.093321703,-0.599099206,FALSE,24,43
23,1.038966761,0.860824742,1.077844311,0.072188189,0.416535323,FALSE,44,46
23,1.611111646,0.861386139,1.08045977,0.05860942,1.127479494,FALSE,58,56
23,1.897184088,0.882352941,1.055555556,0.042552316,1.736860212,FALSE,70,61
23,2.240471019,0.879807692,1.038251366,0.027503951,2.041550571,FALSE,76,67
24,-1.421256244,0.839285714,1.14893617,0.145346819,-0.853007839,FALSE,19,3
24,0.009105968,0.823033708,1.119453925,0.132066183,-0.294408847,FALSE,30,28
24,0.123534945,0.851123596,1.082508251,0.088475112,0.213408417,FALSE,40,30
24,1.496682669,0.869444444,1.047923323,0.048241754,0.721225682,FALSE,50,54
24,3.041473858,0.847368421,1.093167702,0.069164775,1.178261221,FALSE,59,81
25,-1.020754825,0.754310345,1.051428571,0.034285714,-1.106916471,FALSE,14,10
25,-0.563038917,0.783898305,1.124324324,0.092367608,-0.599099206,FALSE,24,18
25,-0.219751986,0.786290323,1.087179487,0.095298187,-0.091281941,FALSE,34,24
25,-0.105323009,0.77734375,1.065326633,0.072240733,0.111844964,FALSE,38,26
25,0.180749433,0.819230769,1.089201878,0.069212346,0.822789135,FALSE,52,31
25,0.524036364,0.794117647,1.092592593,0.06415003,0.975134315,TRUE,55,37
25,1.210610226,0.823333333,1.052631579,0.044595713,2.549367836,FALSE,86,49
26,0.009105968,0.795731707,1.180076628,0.151393528,-1.208479924,FALSE,12,28
26,0.29517841,0.835365854,1.124087591,0.110216561,-0.54831748,FALSE,25,33
26,1.210610226,0.83045977,1.107266436,0.101944082,0.213408417,FALSE,40,49
26,1.611111646,0.852777778,1.068403909,0.050321955,1.127479494,FALSE,58,56
26,1.668326134,0.85989011,1.073482428,0.050448218,1.432169853,FALSE,64,57
26,1.839969599,0.861111111,1.04516129,0.032472406,1.279824674,TRUE,61,60
27,-0.677467894,0.81875,1.114503817,0.100886654,-1.665515462,FALSE,3,16
27,-0.162537498,0.825581395,1.028169014,0.022999904,-0.54831748,FALSE,25,25
27,-0.105323009,0.851744186,1.064846416,0.055032476,-0.091281941,FALSE,34,26
27,1.897184088,0.851123596,1.082508251,0.060375898,0.416535323,FALSE,44,61
27,1.954398576,0.850543478,1.047923323,0.038160752,0.924352588,FALSE,54,62
27,2.927044881,0.850515464,1.054545455,0.040201513,1.787641938,FALSE,71,79
28,-1.535685221,0.75,1.201877934,0.148957797,-0.700662659,FALSE,22,1
28,0.638465341,0.795774648,1.132743363,0.096401974,-0.040500215,FALSE,35,39
28,0.981752272,0.792763158,1.062240664,0.049561474,0.721225682,FALSE,50,45
28,1.725540623,0.810897436,1.122529644,0.085992985,1.3306064,FALSE,62,58
29,-1.535685221,0.75877193,1.086705202,0.080924855,-1.310043377,FALSE,10,1
29,-0.849111359,0.785087719,1.094972067,0.113027865,-1.005353018,FALSE,16,13
29,-0.44860994,0.778225806,1.139896373,0.111449159,-0.294408847,FALSE,30,20
29,-0.219751986,0.8046875,1.067961165,0.080060303,0.365753597,FALSE,43,24
29,0.066320456,0.828125,1.113207547,0.111091332,0.670443956,FALSE,49,29
29,0.466821876,0.739285714,1.217391304,0.191538431,0.416535323,TRUE,44,36
30,-1.59289971,0.712264151,1.218543046,0.163832012,-1.106916471,FALSE,14,0
30,-1.535685221,0.735849057,1.076923077,0.055390946,-0.853007839,FALSE,19,1
30,-0.677467894,0.754237288,1.078651685,0.090819143,0.264190144,FALSE,41,16
30,0.581250853,0.796610169,1.106382979,0.075723959,0.772007409,FALSE,51,38
31,-0.791896871,0.782786885,1.109947644,0.089466008,-0.954571292,FALSE,17,14
31,-0.44860994,0.778688525,1.094736842,0.081536491,-1.005353018,TRUE,16,20
31,0.752894318,0.80952381,1.098039216,0.069784825,-0.294408847,TRUE,30,41
31,0.810108807,0.8,1.076923077,0.052077169,-0.091281941,TRUE,34,42
31,0.867323295,0.809859155,1.113043478,0.078421735,1.025916041,FALSE,56,43
31,1.038966761,0.808219178,1.118644068,0.08642406,1.3306064,FALSE,62,46
31,1.210610226,0.806666667,1.123966942,0.095905759,1.635296759,FALSE,68,49
32,-1.249612779,0.784090909,1.140096618,0.129507048,-1.513170283,FALSE,6,6
